repo,path,bucket,bytes,lines,tokens_4,tokens_35
pi,packages/ai/test/cloudflare-utils.ts,test,339,9,85,97
pi,packages/ai/test/codex-websocket-cached-probe.ts,test,10573,291,2643,3021
pi,packages/ai/test/context-overflow.test.ts,test,30625,735,7656,8750
pi,packages/ai/test/cross-provider-handoff.test.ts,test,16377,503,4094,4679
pi,packages/ai/test/data/red-circle.png,test,2565,0,0,0
pi,packages/ai/test/empty.test.ts,test,24857,742,6214,7102
pi,packages/ai/test/env-api-keys.test.ts,test,2025,60,506,579
pi,packages/ai/test/faux-provider.test.ts,test,20615,597,5154,5890
pi,packages/ai/test/fireworks-models.test.ts,test,8404,250,2101,2401
pi,packages/ai/test/github-copilot-anthropic.test.ts,test,4016,117,1004,1147
pi,packages/ai/test/github-copilot-oauth.test.ts,test,11799,400,2950,3371
pi,packages/ai/test/google-shared-convert-tools.test.ts,test,4417,187,1104,1262
pi,packages/ai/test/google-shared-gemini3-unsigned-tool-call.test.ts,test,4254,116,1063,1215
pi,packages/ai/test/google-shared-image-tool-result-routing.test.ts,test,3096,102,774,885
pi,packages/ai/test/google-thinking-disable.test.ts,test,5489,161,1372,1568
pi,packages/ai/test/google-thinking-signature.test.ts,test,1739,38,435,497
pi,packages/ai/test/google-vertex-api-key-resolution.test.ts,test,6407,223,1602,1831
pi,packages/ai/test/image-tool-result.test.ts,test,18199,501,4548,5198
pi,packages/ai/test/images.test.ts,test,3349,90,837,957
pi,packages/ai/test/interleaved-thinking.test.ts,test,5297,145,1324,1513
pi,packages/ai/test/lazy-module-load.test.ts,test,4588,143,1147,1311
pi,packages/ai/test/mistral-reasoning-mode.test.ts,test,3090,98,772,883
pi,packages/ai/test/mistral-tool-schema.test.ts,test,2003,61,501,572
pi,packages/ai/test/node-http-proxy.test.ts,test,2122,76,530,606
pi,packages/ai/test/oauth-device-code.test.ts,test,1584,55,396,453
pi,packages/ai/test/oauth.ts,test,2561,93,640,732
pi,packages/ai/test/openai-codex-cache-affinity-e2e.test.ts,test,1200,36,300,343
pi,packages/ai/test/openai-codex-oauth.test.ts,test,13790,451,3448,3940
pi,packages/ai/test/openai-codex-stream.test.ts,test,54095,1682,13524,15456
pi,packages/ai/test/openai-completions-cache-control-format.test.ts,test,5071,189,1268,1449
pi,packages/ai/test/openai-completions-empty-tools.test.ts,test,8986,279,2246,2567
pi,packages/ai/test/openai-completions-prompt-cache.test.ts,test,6621,206,1655,1892
pi,packages/ai/test/openai-completions-response-model.test.ts,test,4011,140,1003,1146
pi,packages/ai/test/openai-completions-retry.test.ts,test,2370,86,592,677
pi,packages/ai/test/openai-completions-thinking-as-text.test.ts,test,5677,216,1419,1622
pi,packages/ai/test/openai-completions-tool-choice.test.ts,test,44290,1654,11072,12654
pi,packages/ai/test/openai-completions-tool-result-images.test.ts,test,2945,103,736,841
pi,packages/ai/test/openai-responses-cache-affinity-e2e.test.ts,test,1157,32,289,331
pi,packages/ai/test/openai-responses-copilot-provider.test.ts,test,8728,291,2182,2494
pi,packages/ai/test/openai-responses-foreign-toolcall-id.test.ts,test,2638,66,660,754
pi,packages/ai/test/openai-responses-message-id.test.ts,test,1655,48,414,473
pi,packages/ai/test/openai-responses-partial-json-cleanup.test.ts,test,3301,101,825,943
pi,packages/ai/test/openai-responses-reasoning-replay-e2e.test.ts,test,9387,292,2347,2682
pi,packages/ai/test/openai-responses-tool-result-images.test.ts,test,7314,200,1828,2090
pi,packages/ai/test/openrouter-cache-write-repro.test.ts,test,2630,78,658,751
pi,packages/ai/test/openrouter-images.test.ts,test,5223,152,1306,1492
pi,packages/ai/test/overflow.test.ts,test,4528,127,1132,1294
pi,packages/ai/test/responseid.test.ts,test,4684,121,1171,1338
pi,packages/ai/test/stream.test.ts,test,53937,1633,13483,15409
pi,packages/ai/test/supports-xhigh.test.ts,test,4342,105,1086,1241
pi,packages/ai/test/together-models.test.ts,test,2617,78,654,748
pi,packages/ai/test/tokens.test.ts,test,12584,334,3144,3593
pi,packages/ai/test/tool-call-id-normalization.test.ts,test,9022,291,2256,2578
pi,packages/ai/test/tool-call-without-result.test.ts,test,12881,328,3220,3680
pi,packages/ai/test/total-tokens.test.ts,test,27250,794,6812,7786
pi,packages/ai/test/transform-messages-copilot-openai-to-anthropic.test.ts,test,5770,191,1442,1649
pi,packages/ai/test/unicode-surrogate.test.ts,test,25629,775,6394,7308
pi,packages/ai/test/validation.test.ts,test,3873,116,968,1107
pi,packages/ai/test/xhigh.test.ts,test,2287,71,572,653
pi,packages/ai/test/xiaomi-models.test.ts,test,522,15,130,149
